@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

adult,2,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2698,558,0,82.862408,17.137592,0,0.481168,0.176256,0.374632,48.185743,87.582526,2594.557004,3469.791783,-875.23478,0.796854,1.065661,-0.268807,1207.67794,0.370908,151646.962083,0.932416,2304,0.498089,391,0.501911,394,0.067584,167,0.854917,0.932416,0.891986,0.491957,0.893658,0.965322,0.828624,0.394297,0.605703,0.171376,0.818126,0.828624,0.818079,0.491957,0.893658,0.907926,0.738712,0.828624,0.018,0.009,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.444717,60.887592,?
adult,3,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2722,534,0,83.599509,16.400491,0,0.498097,0.170495,0.368657,46.628763,86.2233,2592.90042,2965.202459,-372.302039,0.796345,0.910689,-0.114343,1256.244242,0.385824,157734.190825,0.941343,2327,0.496173,389,0.503827,395,0.058657,145,0.856775,0.941343,0.89707,0.511736,0.896186,0.965104,0.835995,0.390826,0.609174,0.164005,0.826606,0.835995,0.82474,0.511736,0.896186,0.911107,0.746873,0.835995,0.025,0.014,0.03125,0.015625,31.25,15.625,11403,4371311,490159,91.984029,60.426904,?
adult,3,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2722,534,0,83.599509,16.400491,0,0.5091,0.171353,0.367406,46.863554,85.930664,2592.90042,3581.524119,-988.623699,0.796345,1.099977,-0.303631,1248.420156,0.383421,156751.797553,0.932039,2304,0.466837,366,0.533163,418,0.067961,168,0.862921,0.932039,0.896149,0.517749,0.897412,0.965954,0.835995,0.370793,0.629207,0.164005,0.826897,0.835995,0.827301,0.517749,0.8974,0.910959,0.753184,0.835995,0.026,0.012,0.03125,0,31.25,0,11403,4371311,490159,92.782555,60.995086,?
adult,3,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2686,570,0,82.493857,17.506143,0,0.4775,0.182038,0.383885,49.785722,89.784893,2592.90042,4930.679091,-2337.77867,0.796345,1.514336,-0.717991,1162.084959,0.356906,145911.538899,0.923544,2283,0.485969,381,0.514031,403,0.076456,189,0.856982,0.923544,0.889019,0.485072,0.883262,0.960587,0.824939,0.387364,0.612636,0.175061,0.814546,0.824939,0.815997,0.485072,0.883239,0.896888,0.737387,0.824939,0.02,0.01,0.015625,0,15.625,0,11403,4371311,490159,90.970516,60.135135,?
adult,3,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2738,518,0,84.090909,15.909091,0,0.522899,0.166983,0.364649,45.668254,85.285956,2592.90042,3382.232661,-789.33224,0.796345,1.038769,-0.242424,1287.36193,0.395381,161641.331681,0.936084,2314,0.459184,360,0.540816,424,0.063916,158,0.86537,0.936084,0.899339,0.532191,0.898467,0.966229,0.840909,0.364009,0.635991,0.159091,0.832419,0.840909,0.832269,0.532191,0.898457,0.912919,0.760065,0.840909,0.026,0.008,0.03125,0.015625,31.25,15.625,11403,4371311,490159,92.168305,60.411548,?
adult,3,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2721,535,0,83.568796,16.431204,0,0.505115,0.173938,0.371379,47.570528,86.859986,2592.90042,3270.186182,-677.285761,0.796345,1.004357,-0.208012,1230.014987,0.377769,154440.842056,0.934466,2310,0.475765,373,0.524235,411,0.065534,162,0.860977,0.934466,0.896217,0.51502,0.893368,0.96448,0.835688,0.376987,0.623013,0.164312,0.826376,0.835688,0.826276,0.51502,0.893368,0.906745,0.750983,0.835688,0.017,0.009,0.015625,0,15.625,0,11403,4371311,490159,92.383292,60.872236,?
adult,3,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2727,529,0,83.753071,16.246929,0,0.517605,0.173994,0.374161,47.585796,87.510604,2592.90042,3794.413857,-1201.513436,0.796345,1.165361,-0.369015,1229.148538,0.377503,154332.050614,0.929612,2298,0.452806,355,0.547194,429,0.070388,174,0.866189,0.929612,0.89678,0.524803,0.89058,0.962523,0.837531,0.360725,0.639275,0.162469,0.828928,0.837531,0.829799,0.524803,0.890562,0.905679,0.757691,0.837531,0.018,0.008,0.015625,0.015625,15.625,15.625,11403,4371311,490159,91.861179,60.687961,?
adult,3,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2707,549,0,83.138821,16.861179,0,0.490209,0.173252,0.370703,47.382763,86.701804,2592.90042,3344.520041,-751.61962,0.796345,1.027187,-0.230841,1229.389741,0.377577,154362.336139,0.933252,2307,0.489796,384,0.510204,400,0.066748,165,0.857302,0.933252,0.893666,0.500671,0.892294,0.964369,0.831388,0.387932,0.612068,0.168612,0.821344,0.831388,0.821278,0.500671,0.892288,0.908691,0.743349,0.831388,0.023,0.008,0.03125,0,31.25,0,11403,4371311,490159,92.444717,60.964373,?
adult,3,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2726,530,0,83.722359,16.277641,0,0.51138,0.17128,0.36808,46.843553,86.088294,2592.90042,3486.615054,-893.714633,0.796345,1.070828,-0.274482,1246.961216,0.382973,156568.612827,0.934061,2309,0.468112,367,0.531888,417,0.065939,163,0.862855,0.934061,0.897047,0.520672,0.888199,0.961358,0.837224,0.371274,0.628726,0.162776,0.828208,0.837224,0.828276,0.520672,0.888197,0.905852,0.754242,0.837224,0.016,0.008,0.015625,0,15.625,0,11403,4371311,490159,92.72113,61.486486,?
adult,3,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2710,546,0,83.230958,16.769042,0,0.494212,0.175196,0.373541,47.914423,87.365569,2592.90042,3610.323744,-1017.423323,0.796345,1.108822,-0.312476,1223.579217,0.375792,153632.765973,0.932848,2306,0.484694,380,0.515306,404,0.067152,166,0.858526,0.932848,0.894145,0.504219,0.89133,0.964023,0.83231,0.384156,0.615844,0.16769,0.822467,0.83231,0.822536,0.504219,0.891332,0.906218,0.745448,0.83231,0.02,0.012,0.03125,0,31.25,0,11403,4371311,490159,92.22973,60.933661,?
adult,3,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2711,545,0,83.261671,16.738329,0,0.487082,0.174027,0.374925,47.576256,87.651237,2594.557004,4202.832468,-1608.275464,0.796854,1.290796,-0.493942,1231.260633,0.378151,154608.218299,0.940105,2323,0.505732,397,0.494268,388,0.059895,148,0.854044,0.940105,0.895011,0.501034,0.891773,0.963952,0.832617,0.398244,0.601756,0.167383,0.822663,0.832617,0.820856,0.501034,0.891763,0.903657,0.741222,0.832617,0.018,0.009,0.015625,0.015625,15.625,15.625,11403,4371311,490159,91.339066,59.751229,?
adult,4,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2747,509,0,84.367322,15.632678,0,0.523683,0.167794,0.364528,45.890138,85.257689,2592.90042,3409.172091,-816.271671,0.796345,1.047043,-0.250698,1283.244612,0.394117,161124.360687,0.944579,2335,0.47449,372,0.52551,412,0.055421,137,0.862579,0.944579,0.901718,0.536825,0.893917,0.963915,0.843673,0.373584,0.626416,0.156327,0.835581,0.843673,0.83344,0.536825,0.893916,0.909516,0.759937,0.843673,0.02,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.168305,60.580467,?
